,last,status,title
285,2.2,Success,艾瑞克·迪許曼：將健康照護從主體移開.txt
286,2.0,Success,查理斯•摩爾：被塑膠充斥的海洋.txt
287,2.2,Success,我們需要英雄般的死亡故事.txt
288,2.2,Success,從五百萬本書學到的事.txt
289,2.2,Success,為什麼我們將依靠機器人.txt
290,2.2,Success,對你而言，我的頭巾代表什麼？.txt
291,2.2,Success,Tyrone Hayes + Penelope Jagessar Chaffer：有毒的寶寶?.txt
292,2.2,Success,大自然的聲音.txt
293,2.2,Success,Graham Hill: 我為什麼要在上班日吃素？.txt
294,2.2,Success,菲利浦●羅斯德談第二人生.txt
295,2.2,Success,肥胖+飢餓=全球糧食議題.txt
296,Failed,Failed,我們為什麼需要睡眠？.txt
297,2.2,Success,凱特琳娜摩塔：認識智慧型材料.txt
298,2.2,Success,邁克爾·諾頓： 如何買快樂.txt
299,2.2,Success,蘇妮莎克什娜 談反對性奴隸的抗爭.txt
300,3.6666666666666665,Success,Jonas Gahr Støre:為了國家之間的對話進行辯護.txt
301,2.2,Success,威廉·諾埃爾 : 揭示失落的阿基米德文本.txt
302,2.2,Success,馬克 顧德曼：對未來犯罪的一個看法.txt
303,2.2,Success,JR: 顛覆世界一年回顧.txt
304,1.5714285714285714,Success,Tali Sharot: 樂觀偏見.txt
305,Failed,Failed,嬰兒令人驚訝的邏輯思維.txt
306,2.75,Success,對無知的追求.txt
307,2.2,Success,在冰海中衝浪的喜悅.txt
308,1.8333333333333333,Success,弗蘭克•蓋瑞：“那又如何？”.txt
309,2.2,Success,Nina Tandon： 組織工程學是醫療個人化的遠景?.txt
310,2.2,Success,Jacqueline Novogratz:提供援助的第三種方法.txt
311,2.2,Success,約翰·迪蘭尼：聯繫互動的海洋.txt
312,Failed,Failed,一種令人愉快的方式教小孩電腦.txt
313,Failed,Failed,拉米示·拉斯卡：萬分之一秒攝影.txt
314,Failed,Failed,這個虛擬實驗室即將改革科學教育的方式.txt
315,Failed,Failed,我和蛇頭的搏命旅程.txt
316,Failed,Failed,人體費洛蒙的氣味之謎.txt
317,2.2,Success,Ray Kurzweil : 科技將如何改造我們.txt
318,Failed,Failed,卡梅隆‧辛克萊談開源建築.txt
319,Failed,Failed,派蒂‧梅斯示範“第六感”，能改變市場的隨身科技產品.txt
320,2.2,Success,什麼可以拯救雨林？你的舊手機.txt
321,Failed,Failed,如何運用數據做出一個很讚的電視節目.txt
322,4.5,Success,迪．波斯瑪：關注企鵝.txt
323,2.2,Success,基斯‧慕萊克: 一隻死鴨子如何改變我的一生.txt
324,Failed,Failed,我們是如何挖掘出棘龍的.txt
325,Failed,Failed,推特對特殊訊息的衡量.txt
326,1.8333333333333333,Success,安古柏談論學校午餐.txt
327,2.2,Success,Mae Jemison談科學與藝術融合教育.txt
328,2.2,Success,亞力克斯•史蒂芬(Alex Steffen): 城市的共享未來.txt
329,2.2,Success,Madeleine Albright：當一位女人和當一位外交官.txt
330,7.333333333333333,Success,Bobby Ghosh: 為何全球聖戰已經輸了.txt
331,2.2,Success,艾美．穆林斯談跑步.txt
332,2.2,Success,Steven Johnson: 偉大創新的誕生.txt
333,Failed,Failed,TED 精彩演講的秘訣.txt
334,3.6666666666666665,Success,希爾馬古登(Thelma Golden)：藝術如何塑造文化變革.txt
335,2.2,Success,吉蘭‧貝兒‧瑟吉教導孩子如何發揮影響力.txt
336,2.2,Success,鍾少男(Caleb Chung)的Pleo.txt
337,2.2,Success,Danielle de Niese：妖冶調情的詠嘆調.txt
338,3.357142857142857,Success,阿什拉夫‧加尼 談論重建破碎的政權.txt
339,2.2,Success,為尚未擁有信用記錄的人而生的智慧貸款.txt
340,2.2,Success,皮革與肉不殺生而可得.txt
341,2.75,Success,Gary Wolf:數據化的自我.txt
342,2.189189189189189,Success,為什麼我們需要結束禁毒戰爭.txt
343,8.5,Success,我們看到的真的是現實麼?.txt
344,2.2,Success,伊恩．鄧巴：對狗狗友善的訓練方式.txt
345,2.2,Success,納特希爾弗：種族背景會影響選票嗎？.txt
346,Failed,Failed,如何明智地運用我們改造生命的超能力.txt
347,2.2,Success,傑．法蘭克大玩網路.txt
348,2.2,Success,Jenna McCarthy：你所不知道的婚姻.txt
349,2.6,Success,從我們孩子疾病中所學到的生命課題.txt
350,2.2,Success,Misha Glenny : 雇用駭客吧！.txt
351,Failed,Failed,Jimmy Wales談維基百科的誕生.txt
352,Failed,Failed,尼葛洛龐帝(Nicholas Negroponte)分享「一個孩子、一台筆電」的願景.txt
353,2.2,Success,關於信任的迷思.txt
354,2.388888888888889,Success,尼古拉斯內格羅蓬特把OLPC「每童一電腦」計劃帶到哥倫比亞.txt
355,Failed,Failed,肯尼羅賓森 (Ken Robinson): 如何逃出教育的死亡谷.txt
356,1.9,Success,賈森·麥丘: 恐怖主義是一個失敗的品牌.txt
357,2.2,Success,樹木如何彼此交談.txt
358,2.2,Success,Anna Deavere Smith的美國特質.txt
359,2.2,Success,從宏觀——沒錯是宏觀——的角度來解決非洲的金融問題.txt
360,2.625,Success,Dan Ariely 談論我們受干擾的道德準則.txt
361,2.2,Success,可立即止血的凝膠.txt
362,2.2,Success,Malcolm Gladwell: Norden投彈瞄準儀的奇怪故事.txt
363,3.6666666666666665,Success,比尤恩·隆伯格 談制定全球議題優先順序.txt
364,Failed,Failed,兩個最書呆的嗜好碰面──神奇的效果.txt
365,Failed,Failed,檢察官改良司法系統的願景.txt
366,Failed,Failed,聽漸凍人冰桶挑戰發起人—也是ㄧ位母親—怎麼說。.txt
