,link,status,title
86,http://shooter.zimuku.net/download/NjQ2NzN8T3JpZ2luLlNwaXJpdHMuT2YuVGhlLlBhc3QuMjAwNi5EVUFMLkFVRElPLkFOSU1FLkRWRFJpUC5YVmlELVdQaSU0MFlDRFYucmFy,True,Origin.Spirits.Of.The.Past
87,http://shooter.zimuku.net/download/NjQ2MTF8JTVCJUU1JTk2JTg0JUU4JTg5JUFGJUU3JTlBJTg0JUU1JUJFJUI3JUU1JTlCJUJEJUU0JUJBJUJBJTVELlRoZS5Hb29kLkdlcm1hbi4yMDA2LkRWRFJpcC5YMjY0LkR1YWxBdWRpby5pTlQtQ05YUC5yYXI%3D,True,The.Good.German
88,http://shooter.zimuku.net/download/NjQ2MTB8MTA2LTEwOC5yYXI%3D,True,血迷離
89,http://shooter.zimuku.net/download/NjQ2MDl8Qm9yZGVyVG93bi5EVkRSaXAuWHZpRC1BTlhpRVRZLnJhcg%3D%3D,True,Bordertown.2007.LiMiTED.DVDRip.XviD-ANXiETY
90,http://shooter.zimuku.net/download/NjQ2MDd8Qm9yZGVyVG93bl9EVkRSaXBfWHZpRF9BTlhpRVRZLnJhcg%3D%3D,True,BorderTown_DVDRip_XviD_ANXiETY
91,http://shooter.zimuku.net/download/NjQ2MDZ8N18xMl8yMDA3X1pvZGlhY19DbkVuX1NVQl9EaUFNT05EX1lURVQucmFy,True,7_12_2007_Zodiac_CnEn_SUB_DiAMOND_YTET
92,http://shooter.zimuku.net/download/NjQ2MDV8N18xMV8yMDA3X1pvZGlhY19DbkVuX1NVQl9EaUFNT05EX1lURVQucmFy,True,7_11_2007_Zodiac_CnEn_SUB_DiAMOND_YTET
93,http://shooter.zimuku.net/download/NjQ2MDh8JUU3JTgxJUFCJUU3JTgzJUE3JUU1JUIyJTlCLnJhcg%3D%3D,True,Island of Fire
94,http://shooter.zimuku.net/download/NjQ2MjF8UHJlbW9uaXRpb24lNUIxJTVELjIwMDcuNzIwcC5CbHVSYXkueDI2NC1TRVBUaUMucmFy,True,Premonition
95,http://shooter.zimuku.net/download/NjU2NDd8UHJlbW9uaXRpb24uMjAwNy43MjBwLkJsdVJheS54MjY0LVNFUFRpQy5yYXI%3D,True,Premonition
96,http://shooter.zimuku.net/download/NjgzNDR8OTUyNzIuemlw,True,paprika
97,http://shooter.zimuku.net/download/NjQ2MjJ8JTVCJUU5JTkzJTgxJUU5JTlEJUEyJUU2JTk3JUEwJUU3JUE3JTgxJTVEJTVCMSU1RC5UaGUuVW50b3VjaGFibGVzLjE5ODcuRGlWWDYuQkRSaVAtQ0hELkNuRW4ucmFy,True,The Untouchables
98,http://shooter.zimuku.net/download/NjQ2MDR8TGl0dGxlLkJyaXRhaW4uUzAyLllURVQlNDBZRFkucmFy,True,小不列颠 第二季 全6集
99,http://shooter.zimuku.net/download/NjQ2MDJ8SG9sbHl3b29kbGFuZC5SMy5yYXI%3D,True,銀色殺機
100,http://shooter.zimuku.net/download/NjQ2MDF8OF8yMDA3X0RWRFNDUl9BQzNfVEhTLnJhcg%3D%3D,True,8_2007_DVDSCR_AC3_THS
101,http://shooter.zimuku.net/download/NjQ2MDB8dGhlLmNsb3Nlci5zMDNlMDQuaGR0di54dmlkLWZxbS5ZVEVUJTQwWURZLnJhcg%3D%3D,True,罪案终结 第三季 第4集
102,http://shooter.zimuku.net/download/NjQ1OTl8dGxmLXBhdGhmaW5kZXIuaGFsZmNkLmNocyUyNmVuZy5yYXI%3D,True,Pathfinder
103,http://shooter.zimuku.net/download/NjQ1OTR8Wm9kaWFjLkNuRW4uU1VCLkRpQU1PTkQuWVRFVC5yYXI%3D,True,Zodiac.CnEn.SUB.DiAMOND.YTET
