,link,title,status
76,http://shooter.zimuku.net/download/MjYzOTU5fEF3a3dhcmQlRTUlOUIlQTclRTUlQTUlQjMlRTclOEYlOEQlRTUlQTglOUMrUzA0RTEzLVMwNEUxNCtIRFRWLnppcA%3D%3D,Awkward囧女珍娜 S04E13-S04E14 HDTV 1,0
77,http://shooter.zimuku.net/download/MjYzOTU4fCVFOCVCNiVCMyVFNSU5RCU5QiVFNSVBRiU4NiVFNiU4RSVBMi5NYXRhZG9yLlMwMUUxMy43MjBwLkhEVFZ4MjY0LTJIRCVFNSU4RiU4QyVFOCVBRiVBRCVFNSVBRCU5NyVFNSVCOSU5NS4lRTYlQjclQjElRTUlQkQlQjElRTUlQUQlOTclRTUlQjklOTUlRTclQkIlODQubWt2KyUyODElMjkuemlw,Matador足球密探 S01E13 HDTV 1,0
78,http://shooter.zimuku.net/download/MjYzOTU2fHRoZS5nb29kLndpZmUuczA2ZTA0LllURVQuemlw,律政巾帼 第六季 第4集,0
79,http://shooter.zimuku.net/download/MjYzOTU1fERlbGl2ZXIuVXMuZnJvbS5FdmlsLjIwMTQuMTA4MHAuQmx1UmF5LngyNjQuWUlGWS5zcnQuemlw,惡魔刑事錄,0
80,http://shooter.zimuku.net/download/MjYzOTU0fF9fX19fX19fX0RNX19fX19fXy5yYXI%3D,_DM_,0
81,http://shooter.zimuku.net/download/MjYzOTUzfEhhbmFfWW9yaV9EYW5nby5yYXI%3D,Hana_Yori_Dango,0
82,http://shooter.zimuku.net/download/MjYzOTUyfE1hY2hpbmVfRG9sbC5yYXI%3D,Machine_Doll,0
83,http://shooter.zimuku.net/download/MjYzOTUxfE1hY2hpbmVfRG9sbC5yYXI%3D,Machine_Doll,0
84,http://shooter.zimuku.net/download/MjYzOTUwfEF1dG9tYXRhLjIwMTQucmFy,機器紀元 Automata.2014.720p.WEB-DL.DD5.1.H264-RARBG,0
85,http://shooter.zimuku.net/download/MjYzOTQ5fEF1dG9tYXRhLjIwMTQuNzIwcC5XRUItREwuREQ1LjEuSDI2NC1SQVJCRy5yYXI%3D,Automata,0
86,http://shooter.zimuku.net/download/MjYzOTQ4fCVFNyU5NCU5QyVFNSVBNyU5MCVFNSU4NCVCRi5GdW5ueStGYWNlLjE5NTcuQkRSaXAuWDI2NC5pTlQuVExGLnJhcg%3D%3D,甜姐儿.Funny Face.1957.BDRip.X264.iNT.TLF,0
87,http://shooter.zimuku.net/download/MjYzOTQ3fEdyYWNlLm9mLk1vbmFjby4yMDE0LjEwODBwLkJsdVJheS5YMjY0LUFNSUFCTEUucmFy,摩纳哥王妃,0
88,http://shooter.zimuku.net/download/MjYzOTQ2fCVFMyU4MCU5MFNTSyVFNSVBRCU5NyVFNSVCOSU5NSVFNyVCQiU4NCVFMyU4MCU5MVRoZStGbGFzaCslMjgyMDE0JTI5Ky0rMDF4MDIucmFy,【ssk字幕组】The Flash S01E02,0
89,http://shooter.zimuku.net/download/MjYzOTQ1fEdBLlYxLk5PTEEuUzAxRTA0LnppcA%3D%3D,NCIS: New Orleans,0
90,http://shooter.zimuku.net/download/MjYzOTQzfCVFNSU5QyVBMyVFNSU5RiU4RSVFNSVBRSVCNiVFNSU5QiVBRFNDRyVFNSVBRCU5NyVFNSVCOSU5NSVFNyVCQiU4NCVFRiVCRiVBMU1hcnZlbHMuQWdlbnRzLm9mLlMuSC5JLkUuTC5ELlMwMkUwNC5IRFRWLngyNjQtS0lMTEVSUy5yYXI%3D,神盾局特工,0
91,http://shooter.zimuku.net/download/MjYzOTQyfE1hcnZlbHMuQWdlbnRzLm9mLlMuSC5JLkUuTC5ELlMwMkUwNC5IRFRWLngyNjQtS0lMTEVSUy5ZVEVUJTQwWURZLnJhcg%3D%3D,神盾局特工 第二季 第4集,0
92,http://shooter.zimuku.net/download/MjYzOTQxfCVFOCU4NyVCNCVFNSU5MSVCRCVFNSVCQyVBRiVFOSU4MSU5MzYucmFy,wrong turn6,0
93,http://shooter.zimuku.net/download/MjYzOTQwfEJvcm4udG8uUmFjZS5GYXN0LlRyYWNrLjIwMTQuNzIwcC5XRUItREwueDI2NC5BQzMtWklLQVMuemlw,出轨英豪,0
